,ЗП,Ищет работу на должность:,"Город, переезд, командировки",Занятость,График,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы месяцев,Город,Готовность к переезду,Готовность к командировкам,Готовность к переезду1,Готовность к командировкам1
11012,120000 руб.,Руководитель,"Астрахань , готов к переезду (Астраханская область, Липецкая область, Республика Крым, Республика Северная Осетия-Алания, Калужская область, Брянская область, Волгоградская область, Ставропольский край, Орловская область, Республика Адыгея, Республика Даг",полная занятость,полный день,"ООО ""Автоматические Пожарные Системы""",Руководитель службы цифровизации,26.04.2019 16:44,Не указано,высшее,М,55,384.0,другие,True,False,True,True
11023,30000 руб.,Менеджер проекта,"Севастополь , готов к переезду (Москва, Санкт-Петербург, Симферополь, Евпатория, Италия) , не готов к командировкам",полная занятость,полный день,Государственное автономное учреждение города Севастополя «Центр развития туризма»,Менеджер проектов,15.04.2019 12:11,Не указано,высшее,М,27,19.0,другие,True,False,True,True
11134,130000 руб.,Программист С++,"Иннополис , готов к переезду (Нидерланды, Болгария, Новая Зеландия, Норвегия, Шри-Ланка, Беларусь, Великобритания, США, Швеция, Греция, Германия, Грузия, Финляндия, Испания, Франция, Италия, Сингапур, Швейцария, Кипр, Канада, Япония, Шотландия, Россия, Ки",полная занятость,"полный день, удаленная работа",Postgres Pro,Программист C/С++,25.04.2019 09:37,Имеется собственный автомобиль,высшее,М,27,41.0,другие,True,False,True,True
11216,45000 руб.,Специалист ИТ-инфраструктуры,"Пермь , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,полный день,АО Искра-Авигаз,Администратор сети,13.04.2019 21:20,Не указано,среднее специальное,М,34,121.0,город-миллионник,True,False,True,True
11330,40000 руб.,"Радиомонтёр,","Сосногорск , готов к переезду (Ленинградская область, Ямало-Ненецкий АО) , не готов к командировкам",полная занятость,"полный день, вахтовый метод, удаленная работа",Ооо Сигнал,Радиомонтёр,15.04.2019 17:08,Не указано,среднее,М,40,22.0,другие,True,False,True,True
11427,30000 руб.,Креативный аналитик,"Грозный , готов к переезду (Россия, Другие страны) , не готов к командировкам",полная занятость,полный день,Чеченский Государственный Университет,Инженер,25.04.2019 12:17,Не указано,высшее,М,22,10.0,другие,True,False,True,True
11578,170000 руб.,Инженер-программист,"Москва ,  м. Белорусская , готов к переезду (Санкт-Петербург, Калининград) , не готов к командировкам",полная занятость,полный день,"НПП ""Итэлма""",Ведущий инженер программист,10.04.2019 10:26,Не указано,высшее,М,30,77.0,Москва,True,False,True,True
11592,25000 руб.,Администратор сайта,"Краснодар , готов к переезду (Москва, Санкт-Петербург, Киев) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Яндекс.Дзен,Редактор,25.04.2019 00:03,Не указано,неоконченное высшее,М,23,23.0,другие,True,False,True,True
11928,97000 руб.,"Дизайн-менеджер, менеджер digital-продукта (дизайн и разработка), менеджер интернет-проектов","Москва ,  м. Шаболовская , готов к переезду (Нидерланды, Санкт-Петербург, Севастополь, Евпатория, Харьков, Новая Зеландия, Люксембург, Норвегия, Судак, Белгород, Бельгия, Великобритания, США, Швеция, Греция, Черноморское, Германия, Дания, Турция, Финлянди","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",АО «ИльмиксГрупп»,"Менеджер интернет-проектов, дизайн-менеджер",07.05.2019 10:03,Не указано,высшее,М,32,87.0,Москва,True,False,True,True
11951,250000 руб.,Руководитель предприятия,"Санкт-Петербург , готов к переезду (Москва, Другие страны) , не готов к командировкам",полная занятость,полный день,Ростелеком,Руководитель проектов офиса трансформации,13.04.2019 09:33,Имеется собственный автомобиль,высшее,М,41,248.0,Санкт-Петербург,True,False,True,True
12016,2200 USD,Программист C#,"Калининград , хочу переехать (Москва, Нидерланды, Санкт-Петербург, Австралия, Австрия, Чехия, Болгария, Польша, Новая Зеландия, Норвегия, Бельгия, США, Швеция, Греция, Германия, Чили, Дания, Ирландия, Испания, Франция, Италия, Аргентина, Кипр, Канада, Исл",полная занятость,полный день,Системные технологии,Ведущий программист,16.04.2019 23:28,Не указано,высшее,М,35,105.0,другие,True,False,True,True
12031,60000 руб.,Системный администратор,"Новосибирск , готов к переезду (Ленинградская область, Новосибирская область, Кемеровская область) , не готов к командировкам",полная занятость,полный день,ОАО «УК «Кузбассразрезуголь»,Ведущий инженер АСУ ТП,09.04.2019 06:46,Не указано,высшее,М,28,81.0,город-миллионник,True,False,True,True
12091,100000 руб.,Front end разработчик,"Москва , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"удаленная работа, полный день",ADC media Erevan,Frontend-разработчик (Javascript),07.05.2019 11:29,Не указано,высшее,М,24,37.0,Москва,True,False,True,True
12169,70000 руб.,Программист PHP,"Саратов , готов к переезду (Санкт-Петербург, Самарская область, Ростовская область, Ульяновская область) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",ООО ПРА Эстетика,Руководитель интернет-проекта,26.04.2019 13:51,Не указано,неоконченное высшее,М,31,93.0,другие,True,False,True,True
12324,80000 руб.,Ведущий инженер по ИТ,"Владивосток , готов к переезду (Омская область, Республика Крым, Республика Башкортостан, Московская область, Ямало-Ненецкий АО, Челябинская область, Нижегородская область, Новосибирская область, Самарская область, Республика Саха (Якутия), Хабаровский кр","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Транснефть - Дальний Восток,Инженер АСУТП,07.05.2019 02:47,Имеется собственный автомобиль,высшее,М,27,85.0,другие,True,False,True,True
12717,30000 руб.,Системный администратор,"Новомосковск (Тульская область) , готова к переезду (Санкт-Петербург, Тула) , не готова к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, удаленная работа",СЕОВЕН,Контент-менеджер,09.04.2019 21:33,Не указано,высшее,Ж,27,62.0,другие,True,False,True,True
12730,90000 руб.,Главный энергетик,"Одинцово , готов к переезду (Москва, Можайск, Калуга) , не готов к командировкам",полная занятость,полный день,АО Трансинжстрой,Главный энергетик,14.04.2019 20:57,Имеется собственный автомобиль,высшее,М,27,34.0,другие,True,False,True,True
12923,20000 руб.,Модератор/администратор,"Саратов , хочу переехать (Республика Алтай, Алтайский край, Новосибирская область, Краснодарский край) , не готов к командировкам","проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, сменный график","ООО ""Компания ""АЛС и ТЕК""",Менеджер по снабжению,07.05.2019 08:15,Имеется собственный автомобиль,высшее,М,29,110.0,другие,True,False,True,True
13177,35000 руб.,Инженер,"Донецк (Ростовская область) , готов к переезду (Каменск-Шахтинский, Краснодар, Ростов-на-Дону) , не готов к командировкам",полная занятость,полный день,ООО Фотон,Директор торгового центра,16.04.2019 08:19,Имеется собственный автомобиль,высшее,М,44,225.0,другие,True,False,True,True
13337,11000 USD,"Руководитель проекта, направления, дирекции","Москва ,  м. Ботанический сад , готов к переезду (Нидерланды, Ирландия, Финляндия, Испания, Франция, Австралия, Италия, Сингапур, Швейцария, Новая Зеландия, Канада, Южная Корея, Люксембург, Исландия, Норвегия, Шотландия, Бельгия, Китай, Бразилия, Великобр",полная занятость,полный день,Российский университет транспорта (МИИТ),Доцент,09.10.2018 18:29,Не указано,высшее,М,47,344.0,Москва,True,False,True,True
13412,50000 руб.,Бригадир-монтажник,"Химки , готов к переезду (Зеленоград, Солнечногорск) , не готов к командировкам",полная занятость,полный день,ГБОУ М.О Солнечногорский профессиональный техникум отраслевых технологий,Мастер производственного обучения,16.04.2019 20:07,Имеется собственный автомобиль,среднее специальное,М,34,130.0,другие,True,False,True,True
13415,250000 руб.,"консультант, технический директор, директор по развитию, руководитель проекта","Мытищи , готов к переезду (Москва, Астраханская область, Севастополь, Республика Башкортостан, Республика Северная Осетия-Алания, Московская область, Пермский край, Ямало-Ненецкий АО, Волгоградская область, Челябинская область, Ставропольский край, Свердл","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","ООО ""Квадрат-А""","консультант, совладелец",15.04.2019 21:22,Имеется собственный автомобиль,высшее,М,48,320.0,другие,True,False,True,True
13544,125000 руб.,Веб-разработчик,"Уфа , готов к переезду (Казань, Иннополис) , не готов к командировкам","частичная занятость, полная занятость","полный день, удаленная работа","СИБИНТЕК, ООО ИК",Тимлид,16.04.2019 14:48,Не указано,высшее,М,27,80.0,город-миллионник,True,False,True,True
13591,15000 грн.,PHP developer (YII2),"Киев , готов к переезду (Ленинградская область, Московская область) , не готов к командировкам","частичная занятость, проектная работа","гибкий график, полный день, удаленная работа",Freelance,Full Stack Developer,22.04.2019 12:29,Не указано,высшее,М,30,47.0,другие,True,False,True,True
13685,20000 руб.,Frontend-разработчик,"Томск , готов к переезду (Швейцария, Таиланд, Канада) , не готов к командировкам","стажировка, частичная занятость, проектная работа","гибкий график, удаленная работа",Вэб-студия MothinWeb,Frontend-разработчик,21.04.2019 17:25,Имеется собственный автомобиль,среднее специальное,М,21,9.0,другие,True,False,True,True
13751,60000 руб.,ИТ-специалист,"Лянтор , хочу переехать (Екатеринбург, Тюмень) , не готов к командировкам",полная занятость,полный день,"МУ ""КСК""Юбилейный""",Художник по свету II кат.,11.04.2019 14:18,Не указано,неоконченное высшее,М,39,213.0,другие,True,False,True,True
13764,60000 руб.,Дизайнер интерфейсов,"Санкт-Петербург , хочу переехать (Москва, Санкт-Петербург) , не готов к командировкам","проектная работа, стажировка, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",Фриланс,Дизайнер,07.05.2019 12:23,Не указано,среднее,М,19,41.0,Санкт-Петербург,True,False,True,True
13777,1800 USD,Web-программист,"Баку , готов к переезду (Украина, Австралия, Австрия, Ямайка, Азербайджан, Республика Гватемала, Бельгия, Сербия, Тайвань, Великобритания, Швеция, Республика Кот-д’Ивуар, Германия, Панама, Грузия, Дания, Израиль, Ирландия, Испания, Италия, Доминиканская Р","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Caspian Innovation Center,Application Consultant,18.04.2019 10:12,Не указано,высшее,М,31,117.0,другие,True,False,True,True
14150,120000 руб.,"Руководитель проектов, производитель работ","Речицы (Московская область, Раменский район) , не готов к переезду , готов к редким командировкам",полная занятость,полный день,"Московский метрополитен, Государственное унитарное предприятие",Мастер РСУ,19.04.2019 08:29,Имеется собственный автомобиль,высшее,М,39,172.0,другие,False,True,False,False
14244,20000 руб.,Приходящий системный администратор,"Москва , готов к переезду (Москва, Московская область) , не готов к командировкам","частичная занятость, полная занятость","удаленная работа, гибкий график",Интем Регион,Начальник ИТ-отдела,26.04.2019 09:41,Имеется собственный автомобиль,высшее,М,34,194.0,Москва,True,False,True,True
14555,80000 руб.,Менеджер по продажам (удаленно),"Чебоксары , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, полная занятость",удаленная работа,Делориан,Менеджер по продажам,22.04.2019 17:20,Не указано,высшее,М,30,99.0,другие,True,False,True,True
14929,1000 USD,Инженер-электронщик,"Сергиев Посад , готов к переезду (Москва, Израиль, Нидерланды, Финляндия, Испания, Франция, Чехия, Польша, Швейцария, Кипр, Таиланд, Канада, Норвегия, Бельгия, Сербия, Великобритания, США, Швеция, Черногория, Хорватия, Словения, Германия) , готов к команд",полная занятость,сменный график,"ООО ""Прогресс""",Инженер-электронщик,10.04.2019 12:50,Не указано,неоконченное высшее,М,48,330.0,другие,True,False,True,True
14981,100000 руб.,Программист,"Давыдово (Московская область, Орехово-Зуевский район) , не готов к переезду , готов к редким командировкам",полная занятость,полный день,"ООО ""Автогарантия"" (Гжельский завод Электроизолятор)",Инженер-программист,17.04.2019 10:16,Не указано,высшее,М,30,120.0,другие,False,True,False,False
15026,65000 руб.,Инженер,"Москва , готов к переезду (Домодедово, Климовск) , не готов к командировкам",полная занятость,полный день,УМВД России по  г.о. Подольск,"Начальник отдела информационных технологий, связи и защиты информации",14.04.2019 20:40,Имеется собственный автомобиль,высшее,М,39,112.0,Москва,True,False,True,True
15179,35000 руб.,Инженер технической поддержки,"Озерск (Челябинская область) , готов к переезду (Челябинская область, Свердловская область) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, сменный график",УПИИ ВНИПИЭТ,Инженер-программист,12.05.2019 16:20,Не указано,высшее,М,31,105.0,другие,True,False,True,True
15246,82000 руб.,Менеджер проекта,"Белгород , готов к переезду (Москва, Санкт-Петербург, Ямало-Ненецкий АО, Республика Адыгея, Ярославская область, Ленинградская область, Республика Коми, Республика Тыва, Республика Мордовия, Республика Саха (Якутия), Камчатский край, Белгородская область,",полная занятость,"гибкий график, полный день","ООО ""Котельный завод ""Белэнергомаш""",Менеджер службы продаж,25.04.2019 15:54,Не указано,высшее,М,49,339.0,другие,True,False,True,True
15408,1000 USD,GO-Developer,"Алматы , готов к переезду (Алматы, Нур-Султан) , не готов к командировкам","стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",ADAB Solutions,GO-Developer,25.04.2019 07:26,Не указано,высшее,М,20,19.0,другие,True,False,True,True
15410,90000 руб.,Преподаватель информационных технологий,"Раменское , готов к переезду (Москва, Люберцы) , не готов к командировкам",полная занятость,полный день,ГБОПУ Колледж индустрии гостеприимства и менеджмента № 23,Преподаватель спецдисциплин (ИТ),07.05.2019 11:49,Не указано,высшее,М,65,454.0,другие,True,False,True,True
15641,30000 руб.,Системмный администратор,"Астрахань , готова к переезду (Москва, Астрахань) , не готова к командировкам",полная занятость,"гибкий график, полный день, сменный график, удаленная работа",ГАСУСО АО Наримановский ПНИ,Системный администратор,08.04.2019 07:50,Не указано,среднее специальное,Ж,28,81.0,другие,True,False,True,True
15649,55000 руб.,Начальник отдела,"Астрахань , готов к переезду (Москва, Санкт-Петербург, Нижний Новгород, Радужный (Владимирская область), Чехия, Суздаль, Белгород, Южно-Сахалинск, Смоленск, Великобритания, Швеция, Владимир, Волгоград, Казань, Воронеж, Германия, Краснодарский край, Тюмень",полная занятость,полный день,"Воентелеком, ОАО",старший региональный инженер,14.05.2019 10:38,Не указано,высшее,М,36,163.0,другие,True,False,True,True
15876,200000 руб.,Руководитель проекта,"Москва ,  м. Кунцевская , готов к переезду (Москва, Израиль, Нидерланды, Санкт-Петербург, Ирландия, Финляндия, Испания, Франция, Чехия, Польша, Калуга, Вьетнам, Новая Зеландия, Канада, Малайзия, Норвегия, ОАЭ, Португалия, Китай, Бразилия, Дания) , готов к",полная занятость,"гибкий график, полный день",ООО C24,Ведущий разработчик Web разработки Департамента ИТ C24,12.04.2019 12:30,Не указано,высшее,М,33,140.0,Москва,True,False,True,True
16599,70000 руб.,Frontend-разработчик,"Великий Новгород , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","стажировка, полная занятость","гибкий график, полный день",Innoline Pro,HTML-верстальщик,27.04.2019 12:17,Не указано,высшее,М,28,16.0,другие,True,False,True,True
16811,70000 руб.,Инженер по автоматизированным системам управления производством,"Пыть-Ях , готов к переезду (Сургут, Тюмень) , не готов к командировкам",полная занятость,полный день,"АО ""ЮТЭК-Пыть-Ях""",Инженер по автоматизированным системам управления производством,21.04.2019 09:17,Не указано,высшее,М,31,115.0,другие,True,False,True,True
17233,100000 руб.,Специалист по защите информации,"Омск , хочу переехать (Москва, Нидерланды, Санкт-Петербург, Новосибирск, Австрия, Чехия, Польша, Новая Зеландия, Люксембург, Норвегия, ОАЭ, Бельгия, Великобритания, США, Швеция, Греция, Германия, Дания, Нур-Султан, Ирландия, Финляндия, Испания, Франция, И","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",ИП,Специалист по информационной безопасности,07.05.2019 19:40,Не указано,неоконченное высшее,М,34,140.0,город-миллионник,True,False,True,True
17272,200000 руб.,"Коммерческий директор, Директор по продажам, Руководитель отдела продаж","Москва ,  м. Маяковская , готов к переезду (Россия, Другие страны) , не готов к командировкам",полная занятость,полный день,Билайн,Агент по прямым продажам,22.04.2019 15:46,Не указано,высшее,М,31,104.0,Москва,True,False,True,True
17430,100000 руб.,Front end разработчик,"Москва , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"удаленная работа, полный день",ADC media Erevan,Frontend-разработчик (Javascript),22.04.2019 02:33,Не указано,высшее,М,24,36.0,Москва,True,False,True,True
17449,45000 руб.,Специалист технической поддержки,"Полтавка , готова к переезду (Санкт-Петербург, Омск, Краснодарский край) , не готова к командировкам",полная занятость,"гибкий график, полный день, удаленная работа","ООО ""Тепловик""",Экономист планово-экономического отдела,07.05.2019 10:40,Имеется собственный автомобиль,среднее специальное,Ж,32,141.0,другие,True,False,True,True
17560,30000 руб.,Сервисный инженер,"Набережные Челны , готов к переезду (Москва, Казань) , не готов к командировкам",полная занятость,полный день,"НВ, ООО",Сервисный инженер,07.05.2019 09:29,Имеется собственный автомобиль,среднее специальное,М,22,16.0,другие,True,False,True,True
17688,30000 руб.,Специалист технической поддержки,"Бийск , готова к переезду (Москва, Санкт-Петербург) , не готова к командировкам",полная занятость,полный день,Школа прикладных психотехнологий,Администратор проекта,22.04.2019 13:21,Имеется собственный автомобиль,высшее,Ж,31,137.0,другие,True,False,True,True
17722,100000 руб.,Системный администратор,"Орел , хочу переехать (Москва, Московская область) , не готов к командировкам",полная занятость,полный день,"АО ""Протон""",Заместитель начальника отдела информационных технологий,26.04.2019 10:17,Не указано,высшее,М,37,162.0,другие,True,False,True,True
17787,40000 руб.,Сервисный инженер,"Санкт-Петербург ,  м. Купчино , готов к переезду (Павловск (Ленинградская область), Пушкин (Ленинградская область) , Колпино) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Городская больница №38 им. Н.А. Семашко,Инженер по аппаратному обеспечению,26.04.2019 15:42,Имеется собственный автомобиль,высшее,М,41,226.0,Санкт-Петербург,True,False,True,True
17884,97000 руб.,"Дизайн-менеджер, менеджер digital-продукта (дизайн и разработка), менеджер интернет-проектов","Москва ,  м. Шаболовская , готов к переезду (Нидерланды, Санкт-Петербург, Севастополь, Евпатория, Харьков, Новая Зеландия, Люксембург, Норвегия, Судак, Белгород, Бельгия, Великобритания, США, Швеция, Греция, Черноморское, Германия, Дания, Турция, Финлянди","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",АО «ИльмиксГрупп»,"Менеджер интернет-проектов, дизайн-менеджер",27.04.2019 21:23,Не указано,высшее,М,32,86.0,Москва,True,False,True,True
17887,50000 руб.,инженер IT,"Краснодар , готов к переезду (Ростов-на-Дону, Батайск) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","Шамбала, ЗАО",Инженер игрового оборудования,25.04.2019 23:54,Имеется собственный автомобиль,высшее,М,30,83.0,другие,True,False,True,True
18048,30000 руб.,Программист-разработчик,"Оренбург , готова к переезду (Москва, Санкт-Петербург) , не готова к командировкам",полная занятость,удаленная работа,Индивидуальное предпринимательство / частная практика / фриланс,Верстальщик,12.04.2019 13:24,Не указано,неоконченное высшее,Ж,22,11.0,другие,True,False,True,True
18072,100000 руб.,Инженер-программист,"Новосибирск ,  м. Площадь Ленина , готов к переезду (Россия, Другие страны) , не готов к командировкам",полная занятость,"гибкий график, полный день, удаленная работа",Eltex,Инженер-программист,13.04.2019 14:23,Имеется собственный автомобиль,высшее,М,30,69.0,город-миллионник,True,False,True,True
18123,120000 руб.,Программист,"Москва , готов к переезду (Санкт-Петербург, Новосибирская область) , не готов к командировкам",полная занятость,"удаленная работа, полный день","ПрофитМед, ЗАО",Программист,13.05.2019 11:07,Не указано,высшее,М,24,38.0,Москва,True,False,True,True
18899,150000 руб.,Региональный менеджер по продажам,"Казань , готов к переезду (Уфа, Ямало-Ненецкий АО) , не готов к командировкам",полная занятость,полный день,"АО Группа «СВЭЛ""",Региональный менеджер по продажам,16.04.2019 16:11,Имеется собственный автомобиль,высшее,М,31,117.0,город-миллионник,True,False,True,True
19003,30000 руб.,"Системный администратор, специалист службы ИТ","Кемерово , готов к переезду (Новосибирск, Новокузнецк, Томск, Кемерово) , не готов к командировкам","стажировка, полная занятость","гибкий график, полный день","Компания ""Крюгер""",Системный администратор,14.04.2019 19:42,Не указано,неоконченное высшее,М,42,188.0,другие,True,False,True,True
19107,15000 руб.,SMM,"Обнинск , готова к переезду (Балабаново, Белоусово) , не готова к командировкам","частичная занятость, полная занятость",удаленная работа,Банк Хоум Кредит,Эксперт,26.04.2019 11:29,Не указано,высшее,Ж,28,74.0,другие,True,False,True,True
19112,900 USD,PHP-разработчик,"Гродно , готов к переезду (Украина, Австралия, Чехия, Польша, Новая Зеландия, Люксембург, Норвегия, США, Швеция, Германия, Дания, Финляндия, Испания, Франция, Минск, Швейцария, Кипр, Канада, Эстония, Мальдивская Республика, Мальта, Македония, Латвия, Литв","волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",fullstack middle php developer,Административный директор,26.04.2019 08:43,Не указано,высшее,М,36,148.0,другие,True,False,True,True
19178,60000 руб.,Системный администратор/IT специалист,"Орск , готов к переезду (Москва, Ленинградская область, Санкт-Петербург, Московская область) , не готов к командировкам",полная занятость,полный день,ИТиАС,Системный администратор,22.04.2019 15:05,Не указано,среднее специальное,М,25,61.0,другие,True,False,True,True
19271,100000 руб.,Руководитель проектов,"Балашиха , готов к переезду (Адлер, Сочи) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа","АО «ЮСАР+""",Ведущий инженер / Руководитель проектов,22.04.2019 09:49,Не указано,высшее,М,27,73.0,другие,True,False,True,True
19367,40000 руб.,инженер,"Москва , готов к переезду (Мурманск, Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день",ОАО ОЭМК,Ведущий специалист,09.04.2019 16:38,Не указано,высшее,М,34,188.0,Москва,True,False,True,True
19556,30000 руб.,Оператор,"Куровское , готова к переезду (Москва, Люберцы) , не готова к командировкам",полная занятость,"полный день, сменный график",Почта России,Оператор 1 класса,22.04.2019 08:37,Имеется собственный автомобиль,высшее,Ж,26,45.0,другие,True,False,True,True
19579,40000 руб.,Администратор,"Алушта , хочу переехать (Ялта, Алушта, Судак) , не готова к командировкам","частичная занятость, полная занятость","полный день, сменный график, удаленная работа",Производство и продажа,"Менеджер по работе с клиентами, оператор 1С",22.04.2019 18:41,Не указано,высшее,Ж,32,100.0,другие,True,False,True,True
19737,60000 руб.,инженер электросвязи,"Чебоксары , готов к переезду (Республика Алтай, Омская область, Ненецкий АО, Республика Крым, Иркутская область, Мурманская область, Пермский край, Сахалинская область, Свердловская область, Республика Адыгея, Удмуртская Республика, Республика Тыва, Новос",полная занятость,"полный день, вахтовый метод","ООО ""СУОР""",инженер слектросвязи,07.05.2019 10:36,Не указано,высшее,М,47,286.0,другие,True,False,True,True
19913,180000 KZT,Инженер-программист АСУ ТП,"Бейнеу (Мангистауская обл) , готов к переезду (Алматы, Актау, Атырау, Астана) , не готов к командировкам",полная занятость,"полный день, сменный график, вахтовый метод",Казахстан Темир жолы АО,Механик-связи,22.04.2019 08:54,Не указано,высшее,М,25,42.0,другие,True,False,True,True
19987,90000 руб.,Руководитель технической службы,"Ростов-на-Дону , готов к переезду (Республика Крым, Хабаровский край, Сахалинская область, Калининградская область, Приморский край) , не готов к командировкам","проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Orange Business Services в России и СНГ (ООО Эквант),Начальник отдела,07.05.2019 19:30,Не указано,высшее,М,46,333.0,город-миллионник,True,False,True,True
20037,50000 руб.,Инженер-электронщик,"Казань ,  м. Проспект Победы , готов к переезду (Россия, Другие страны) , не готов к командировкам","стажировка, частичная занятость, проектная работа, полная занятость","полный день, вахтовый метод, удаленная работа","ООО ""ДНС Ритэйл""",Инженер сервисного центра,08.04.2019 09:10,Имеется собственный автомобиль,высшее,М,26,52.0,город-миллионник,True,False,True,True
20065,30000 руб.,SEO-специалист - менеджер,"Самара ,  м. Безымянка , готов к переезду (Ленинградская область, Московская область, Свердловская область) , не готов к командировкам","частичная занятость, полная занятость",удаленная работа,REG.RU,сео-специалист,22.04.2019 15:23,Не указано,высшее,М,33,128.0,город-миллионник,True,False,True,True
20211,150000 KZT,"Инженер техподдержки, Help desk, Инженер системотехник, техподдержка, helpdesk, IT","Астана , готов к переезду (Алматы, Москва, Санкт-Петербург, Тбилиси, Минск) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",ТОО Logitex,Системотехник,22.04.2019 14:17,Не указано,высшее,М,30,81.0,другие,True,False,True,True
20235,65000 руб.,Менеджер по управлению проектами,"Новосибирск , готова к переезду (Москва, Екатеринбург) , не готова к командировкам",полная занятость,полный день,АО КБ Модульбанк,Редактор информационных систем,26.04.2019 12:33,Не указано,высшее,Ж,25,34.0,город-миллионник,True,False,True,True
20262,150000 руб.,"filmmaker ( оператор ), producer ( продюсер ), пилот квадрокоптера","Томск , готов к переезду (Москва, Санкт-Петербург, Новосибирск, Испания, Франция, Австралия, Италия, Австрия, Чехия, Болгария, Вьетнам, Швейцария, Новая Зеландия, Таиланд, Сочи, Малайзия, Португалия, Китай, США, Греция, Словения, Германия, Чили) , готов к","проектная работа, стажировка, частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график",Molecula Production,filmmaker and producer,10.04.2019 13:32,Имеется собственный автомобиль,высшее,М,45,293.0,другие,True,False,True,True
